Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Kamm Traverse In,Kamm Traverse Out,Chapman In,Chapman Out,Telluride In,Telluride Out,Kroger In,Kroger Out,Governor In,Governor Out,Ouray In,Ouray Out,Engineer In,Engineer Out,Grouse In,Grouse Out,Sherman In,Sherman Out,Pole Creek In,Pole Creek Out,Maggie In,Maggie Out,Cunningham In,Cunningham Out,Finish
30,26,20,Mike,Ehrlich,male,38,CO,US,00:00:00,03:04:00,03:06:00,05:12:00,05:18:00,08:08:00,08:20:00,10:56:00,11:03:00,11:44:00,11:52:00,13:11:00,13:40:00,16:57:00,17:04:00,19:35:00,20:00:00,26:02:00,26:27:00,30:04:00,30:13:00,32:05:00,32:12:00,35:23:00,36:16:00,40:35:07
31,27,22,Joe,Prusaitis,male,47,TX,US,00:00:00,03:54:00,03:56:00,06:43:00,06:51:00,10:18:00,10:31:00,13:10:00,13:13:00,13:59:00,14:02:00,15:10:00,15:32:00,19:10:00,19:14:00,21:44:00,22:08:00,28:31:00,28:52:00,32:30:00,32:40:00,34:23:00,34:33:00,37:03:00,37:10:00,40:47:48
32,28,24,Mike,Price,male,51,UT,US,00:00:00,03:34:00,03:36:00,05:57:00,06:08:00,09:13:00,09:21:00,11:51:00,11:56:00,12:36:00,12:42:00,14:11:00,14:26:00,17:25:00,17:33:00,20:08:00,20:09:00,26:57:00,27:15:00,31:14:00,31:15:00,33:05:00,33:11:00,36:34:00,36:34:00,40:51:38
33,29,102,Keith,Baker,male,47,NM,US,00:00:00,03:24:00,03:26:00,05:57:00,06:04:00,09:06:00,09:18:00,11:58:00,12:02:00,13:02:00,13:04:00,14:25:00,14:45:00,18:16:00,18:18:00,20:54:00,20:54:00,27:12:00,27:27:00,31:17:00,31:20:00,33:15:00,33:32:00,36:34:00,36:40:00,40:58:10
34,30,132,Carl,Jess,male,43,NM,US,00:00:00,03:24:00,03:26:00,05:49:00,05:53:00,09:06:00,09:18:00,11:39:00,11:53:00,12:33:00,12:39:00,13:57:00,14:08:00,17:14:00,17:28:00,20:04:00,20:34:00,26:47:00,27:09:00,31:15:00,31:20:00,33:15:00,33:32:00,36:26:00,36:40:00,40:58:10
35,31,134,Kristen,Kern,male,37,NM,US,00:00:00,03:24:00,03:26:00,05:52:00,06:02:00,09:06:00,09:18:00,11:51:00,11:53:00,12:33:00,12:39:00,13:57:00,14:18:00,17:20:00,17:28:00,20:04:00,20:35:00,26:47:00,27:09:00,31:15:00,31:20:00,33:20:00,33:32:00,36:34:00,36:40:00,40:58:10
36,32,123,Jerry,Gray,male,55,CO,US,00:00:00,03:29:00,03:30:00,05:47:00,05:54:00,08:52:00,09:13:00,11:52:00,11:53:00,12:32:00,12:39:00,14:05:00,14:44:00,17:48:00,18:23:00,20:52:00,23:02:00,28:10:00,28:57:00,31:58:00,32:04:00,33:43:00,34:09:00,37:01:00,37:17:00,41:04:20
37,33,152,Steve,Pero,male,50,MA,US,00:00:00,03:58:00,03:59:00,06:48:00,06:52:00,10:18:00,10:38:00,13:35:00,13:42:00,14:35:00,14:43:00,16:27:00,16:50:00,20:08:00,20:14:00,22:45:00,23:03:00,29:56:00,30:07:00,33:03:00,33:09:00,34:38:00,34:50:00,37:15:00,37:23:00,41:14:11
38,34,104,Reinhold,Baues,male,51,OR,US,00:00:00,03:29:00,03:29:00,05:57:00,06:08:00,09:12:00,09:29:00,11:50:00,11:53:00,12:49:00,12:54:00,14:15:00,14:40:00,17:48:00,18:05:00,20:25:00,20:48:00,27:13:00,27:34:00,31:31:00,31:41:00,33:36:00,33:49:00,36:56:00,37:12:00,41:37:19
39,35,26,Chuck,Kroger,male,55,CO,US,00:00:00,03:58:00,03:59:00,06:24:00,06:29:00,09:53:00,10:00:00,12:30:00,12:34:00,13:25:00,13:28:00,15:18:00,15:33:00,19:04:00,19:10:00,21:50:00,22:04:00,28:13:00,28:30:00,32:14:00,32:22:00,34:11:00,34:33:00,37:28:00,37:41:00,42:13:12
