Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Cunningham In,Cunningham Out,Maggie In,Maggie Out,Pole Creek In,Pole Creek Out,Sherman In,Sherman Out,Grouse In,Grouse Out,Engineer In,Engineer Out,Ouray In,Ouray Out,Governor In,Governor Out,Kroger In,Kroger Out,Telluride In,Telluride Out,Chapman In,Chapman Out,Kamm Traverse In,Kamm Traverse Out,Putnam In,Putnam Out,Finish
50,46,103,Jim,Baker,male,53,OK,US,00:00:00,02:43:00,02:44:00,04:52:00,04:54:00,06:06:00,06:10:00,08:39:00,08:54:00,13:51:00,14:10:00,16:31:00,16:36:00,19:09:00,20:11:00,23:01:00,23:15:00,25:07:00,25:09:00,26:46:00,27:12:00,32:19:00,32:53:00,37:20:00,37:46:00,41:59:00,42:10:00,44:52:20
51,47,43,Rollin,Perry,male,64,IA,US,00:00:00,02:58:00,03:00:00,05:51:00,05:54:00,07:30:00,07:32:00,10:33:00,10:38:00,17:10:00,17:21:00,20:21:00,20:25:00,22:45:00,23:12:00,26:08:00,26:14:00,28:21:00,28:27:00,29:55:00,30:22:00,35:12:00,35:32:00,39:24:00,39:31:00,42:52:00,42:53:00,44:53:23
52,48,22,Joe,Prusaitis,male,49,TX,US,00:00:00,03:01:00,03:01:00,05:51:00,05:53:00,07:25:00,07:30:00,10:15:00,10:25:00,16:39:00,16:59:00,19:37:00,19:37:00,22:09:00,22:29:00,25:39:00,25:45:00,27:55:00,28:00:00,29:57:00,30:05:00,34:59:00,35:32:00,39:22:00,39:28:00,42:52:00,42:53:00,44:53:23
53,49,122,Jan,Gnass,male,54,CA,US,00:00:00,02:53:00,02:54:00,05:35:00,05:36:00,07:12:00,07:13:00,09:58:00,10:15:00,15:59:00,16:48:00,19:15:00,19:21:00,21:53:00,22:49:00,25:44:00,25:52:00,27:43:00,27:48:00,29:32:00,30:12:00,35:09:00,35:23:00,39:04:00,39:09:00,42:38:00,42:53:00,45:20:20
54,50,129,Lance,Johnson,male,37,NM,US,00:00:00,02:53:00,02:54:00,05:32:00,05:35:00,07:07:00,07:10:00,09:55:00,10:05:00,16:32:00,16:52:00,19:47:00,19:55:00,22:43:00,23:11:00,26:44:00,27:00:00,28:37:00,28:41:00,30:12:00,30:34:00,35:24:00,35:43:00,39:41:00,39:56:00,43:21:00,43:29:00,45:53:26
55,5,168,Nancy,Halpin,female,43,NM,US,00:00:00,02:59:00,03:02:00,05:41:00,05:43:00,07:07:00,07:09:00,09:48:00,09:53:00,15:35:00,15:51:00,19:03:00,19:07:00,22:08:00,23:14:00,26:35:00,26:47:00,28:47:00,28:52:00,30:36:00,30:44:00,35:43:00,35:52:00,39:03:00,40:14:00,43:46:00,43:48:00,46:04:00
56,6,158,Cathy,Tibbetts,female,49,NM,US,00:00:00,02:56:00,02:58:00,05:35:00,05:37:00,06:59:00,07:01:00,09:46:00,10:00:00,15:41:00,15:43:00,18:40:00,18:44:00,21:41:00,21:42:00,25:05:00,25:07:00,26:58:00,27:02:00,29:06:00,29:26:00,35:30:00,35:56:00,39:56:00,40:03:00,43:47:00,43:48:00,46:18:32
57,7,121,Molly,Gibb,female,42,CO,US,00:00:00,02:41:00,02:43:00,05:45:00,05:53:00,07:37:00,07:44:00,10:45:00,10:56:00,17:48:00,18:19:00,21:23:00,21:36:00,24:31:00,24:43:00,27:10:00,27:19:00,29:12:00,29:19:00,30:38:00,30:51:00,35:23:00,35:38:00,39:45:00,39:55:00,43:35:00,43:40:00,46:25:35
58,51,135,Rich,Limacher,male,53,IL,US,00:00:00,03:01:00,03:04:00,05:44:00,05:46:00,07:15:00,07:18:00,10:09:00,10:14:00,16:28:00,16:43:00,19:32:00,19:37:00,22:57:00,23:21:00,26:07:00,26:13:00,28:22:00,28:26:00,30:13:00,30:34:00,35:33:00,35:50:00,39:03:00,40:14:00,43:40:00,43:45:00,46:31:16
59,52,40,Ulrich,Kamm,male,56,CO,US,00:00:00,02:59:00,03:07:00,05:42:00,05:48:00,07:13:00,07:21:00,10:10:00,10:27:00,16:27:00,16:43:00,19:23:00,19:30:00,22:22:00,22:58:00,25:44:00,25:52:00,27:42:00,27:53:00,29:39:00,30:06:00,35:13:00,35:32:00,39:47:00,39:59:00,43:34:00,43:40:00,46:32:50
60,53,153,Rex,Stickland,male,59,,GB,00:00:00,02:57:00,02:59:00,05:35:00,05:38:00,07:00:00,07:01:00,09:39:00,09:46:00,15:43:00,15:54:00,19:04:00,19:08:00,21:40:00,21:58:00,25:00:00,25:09:00,27:05:00,27:08:00,28:27:00,28:36:00,33:33:00,33:51:00,39:18:00,39:23:00,43:58:00,44:01:00,46:39:47
61,54,100,Andrew,Addis,male,48,,GB,00:00:00,03:10:00,03:10:00,05:54:00,05:55:00,07:22:00,07:23:00,10:17:00,10:34:00,17:02:00,17:26:00,20:13:00,20:16:00,22:40:00,23:12:00,25:50:00,26:02:00,27:59:00,28:01:00,29:27:00,29:49:00,34:41:00,35:04:00,39:17:00,39:32:00,43:58:00,44:01:00,46:39:47
62,55,41,Kerry,Collings,male,54,UT,US,00:00:00,02:53:00,03:02:00,05:41:00,05:43:00,07:10:00,07:12:00,10:05:00,10:15:00,16:46:00,17:17:00,20:15:00,20:20:00,23:32:00,23:59:00,26:49:00,26:51:00,28:48:00,28:52:00,30:34:00,30:44:00,35:40:00,36:02:00,40:20:00,40:24:00,44:18:00,44:18:00,46:59:26
63,56,42,Duane,Nelson,male,47,OR,US,00:00:00,02:58:00,03:02:00,05:41:00,05:43:00,07:08:00,07:12:00,10:11:00,10:22:00,16:59:00,17:12:00,20:11:00,20:11:00,22:40:00,22:55:00,25:53:00,25:53:00,28:17:00,28:19:00,29:40:00,29:49:00,35:39:00,36:02:00,40:20:00,40:24:00,44:18:00,44:18:00,46:59:26
64,57,105,Virgil,Best,male,40,CO,US,00:00:00,02:21:00,02:21:00,04:43:00,04:47:00,06:08:00,06:13:00,08:51:00,09:31:00,14:42:00,15:09:00,17:27:00,17:33:00,19:55:00,20:30:00,23:00:00,23:14:00,25:02:00,25:04:00,26:09:00,27:02:00,32:45:00,33:40:00,38:12:00,38:32:00,43:31:00,43:45:00,47:00:00
65,58,28,Nigel,Finney,male,57,MN,US,00:00:00,02:40:00,02:41:00,05:18:00,05:22:00,06:56:00,07:01:00,09:49:00,09:57:00,16:18:00,16:41:00,19:18:00,19:22:00,22:15:00,22:31:00,25:20:00,25:28:00,27:23:00,27:29:00,29:15:00,29:36:00,34:46:00,34:57:00,39:33:00,39:44:00,43:56:00,44:01:00,47:02:47
66,8,146,Deb,Pero,female,49,NH,US,00:00:00,02:59:00,03:04:00,05:59:00,06:02:00,07:30:00,07:33:00,10:28:00,10:54:00,17:50:00,18:41:00,22:17:00,22:30:00,25:11:00,25:34:00,28:48:00,29:00:00,30:56:00,30:58:00,32:32:00,32:48:00,37:26:00,37:37:00,41:20:00,41:26:00,44:57:00,45:02:00,47:03:36
67,9,37,Margaret,Heaphy,female,48,MT,US,00:00:00,02:57:00,03:02:00,05:42:00,05:52:00,07:26:00,07:30:00,10:32:00,10:54:00,17:10:00,18:24:00,21:29:00,21:47:00,24:23:00,24:51:00,27:42:00,27:51:00,29:42:00,29:44:00,31:17:00,31:46:00,36:47:00,37:19:00,41:38:00,41:58:00,45:10:00,45:15:00,47:21:29
68,59,27,Chuck,Kroger,male,57,CO,US,00:00:00,03:08:00,03:09:00,05:40:00,05:43:00,07:06:00,07:10:00,09:56:00,10:01:00,15:56:00,16:17:00,19:16:00,19:22:00,22:13:00,23:22:00,26:32:00,26:53:00,28:48:00,28:59:00,30:52:00,33:51:00,37:53:00,38:03:00,41:51:00,42:12:00,45:18:00,45:24:00,47:36:22
