Overall rank,Gender rank,Bib number,First name,Last name,Gender,Age,State code,Country code,Start Offset,Kamm Traverse In,Kamm Traverse Out,Chapman In,Chapman Out,Telluride In,Telluride Out,Kroger In,Kroger Out,Governor In,Governor Out,Ouray In,Ouray Out,Engineer In,Engineer Out,Grouse In,Grouse Out,Burrows In,Burrows Out,Sherman In,Sherman Out,Pole Creek In,Pole Creek Out,Maggie In,Maggie Out,Cunningham In,Cunningham Out,Finish
37,35,17,Cory,Johnson,male,50,UT,US,00:00:00,03:08:00,03:11:00,05:29:00,05:30:00,08:42:00,08:46:00,11:30:00,11:32:00,12:12:00,12:19:00,13:50:00,13:56:00,17:26:00,17:31:00,19:57:00,20:09:00,24:57:00,25:01:00,26:04:00,26:10:00,30:04:00,30:06:00,31:48:00,31:56:00,34:44:00,34:47:00,38:27:44
38,36,20,Sean,Cunniff,male,42,NM,US,00:00:00,03:32:00,03:33:00,05:48:00,05:53:00,09:09:00,09:16:00,11:55:00,12:05:00,12:54:00,12:57:00,14:46:00,15:09:00,18:26:00,18:35:00,20:58:00,21:18:00,25:28:00,25:39:00,26:40:00,27:04:00,30:35:00,30:48:00,32:29:00,32:33:00,35:12:00,35:24:00,38:50:19
39,37,26,Neil,Blake,male,49,NM,US,00:00:00,03:22:00,03:29:00,05:48:00,05:55:00,09:14:00,09:23:00,12:01:00,12:07:00,13:00:00,13:03:00,14:37:00,15:00:00,18:26:00,18:34:00,21:07:00,21:08:00,26:18:00,26:21:00,27:12:00,27:19:00,31:08:00,31:17:00,32:51:00,33:05:00,35:50:00,35:50:00,38:52:02
40,38,159,Ryan,Mcdermott,male,38,UT,US,00:00:00,03:14:00,03:17:00,05:24:00,05:28:00,08:30:00,08:42:00,11:00:00,11:04:00,11:49:00,11:51:00,13:27:00,13:43:00,17:05:00,17:08:00,19:30:00,19:56:00,24:58:00,25:00:00,26:03:00,26:22:00,30:13:00,30:19:00,32:14:00,32:26:00,35:19:00,35:30:00,38:59:02
41,39,121,David,Dirito,male,34,NC,US,00:00:00,03:14:00,03:16:00,05:29:00,05:35:00,08:52:00,08:58:00,11:50:00,11:55:00,12:39:00,12:41:00,14:00:00,14:12:00,17:37:00,17:40:00,20:07:00,20:18:00,25:18:00,25:19:00,26:25:00,26:40:00,30:37:00,30:46:00,32:26:00,32:32:00,35:13:00,35:23:00,39:03:41
42,40,11,Neal,Taylor,male,52,CO,US,00:00:00,03:03:00,03:04:00,05:04:00,05:05:00,07:55:00,08:03:00,10:24:00,10:25:00,11:13:00,11:13:00,12:48:00,12:58:00,16:13:00,16:23:00,18:46:00,19:30:00,24:13:00,24:16:00,25:24:00,25:48:00,29:24:00,29:33:00,31:10:00,31:12:00,34:08:00,34:12:00,39:07:50
43,41,173,Tom,Remkes,male,53,UT,US,00:00:00,03:23:00,03:29:00,05:44:00,05:45:00,08:47:00,08:52:00,11:15:00,11:21:00,12:12:00,12:16:00,14:26:00,14:49:00,17:44:00,17:55:00,20:25:00,20:41:00,25:00:00,25:03:00,26:14:00,26:30:00,30:13:00,30:18:00,32:02:00,32:05:00,34:50:00,35:00:00,39:17:00
44,42,163,Doug,Newton,male,38,CO,US,00:00:00,03:22:00,03:24:00,05:33:00,05:35:00,08:40:00,08:40:00,10:55:00,10:55:00,11:40:00,11:42:00,13:14:00,13:24:00,16:39:00,17:42:00,19:03:00,19:30:00,24:00:00,24:16:00,25:12:00,25:34:00,29:16:00,29:22:00,31:00:00,31:22:00,34:23:00,34:31:00,39:27:52
45,43,34,Kirk,Apt,male,52,CO,US,00:00:00,03:24:00,03:26:00,05:38:00,05:46:00,08:49:00,08:59:00,11:15:00,11:25:00,12:06:00,12:18:00,13:47:00,14:13:00,17:36:00,17:52:00,20:03:00,20:37:00,25:29:00,25:34:00,26:43:00,27:08:00,30:49:00,30:58:00,32:36:00,32:59:00,35:48:00,36:10:00,39:38:51
46,44,181,Paul,Tidmore,male,46,TX,US,00:00:00,03:15:00,03:18:00,05:34:00,05:39:00,08:51:00,09:02:00,11:26:00,11:30:00,12:17:00,12:19:00,14:03:00,14:17:00,17:46:00,17:53:00,20:26:00,20:51:00,25:16:00,25:28:00,26:32:00,26:54:00,30:33:00,30:52:00,32:34:00,32:40:00,35:36:00,35:45:00,40:08:36
47,45,22,Jeff,List,male,55,MA,US,00:00:00,03:32:00,03:33:00,05:52:00,05:53:00,09:17:00,09:23:00,11:59:00,12:01:00,12:54:00,12:57:00,14:52:00,15:04:00,18:35:00,18:38:00,21:06:00,21:20:00,26:03:00,26:05:00,27:08:00,27:24:00,31:11:00,31:18:00,33:02:00,33:08:00,35:55:00,36:01:00,40:17:43
48,46,138,John,Hallsten,male,58,MT,US,00:00:00,03:06:00,03:07:00,05:08:00,05:13:00,08:02:00,08:10:00,10:27:00,10:29:00,11:19:00,11:25:00,12:58:00,13:28:00,16:49:00,17:25:00,19:50:00,21:06:00,25:48:00,25:57:00,27:12:00,27:42:00,31:18:00,31:39:00,33:16:00,33:18:00,36:10:00,36:20:00,40:32:58
49,47,162,Ken,Nakagawa,male,31,,JP,00:00:00,03:14:00,03:16:00,05:24:00,05:27:00,08:20:00,08:29:00,11:17:00,11:24:00,12:10:00,12:13:00,13:51:00,14:36:00,18:11:00,18:17:00,20:40:00,23:24:00,27:30:00,27:55:00,28:51:00,29:15:00,32:42:00,32:49:00,34:18:00,34:26:00,36:48:00,37:19:00,40:35:50
50,48,25,Bill,Geist,male,43,,AT,00:00:00,03:25:00,03:26:00,05:35:00,05:40:00,08:31:00,08:47:00,11:02:00,11:06:00,12:04:00,12:10:00,13:33:00,13:46:00,17:13:00,17:22:00,19:34:00,20:09:00,24:55:00,25:10:00,26:13:00,26:45:00,30:31:00,30:52:00,32:44:00,32:59:00,35:57:00,36:14:00,40:43:34
51,49,188,Phil,Wiley,male,53,CO,US,00:00:00,03:32:00,03:36:00,06:04:00,06:09:00,09:34:00,09:38:00,12:19:00,12:25:00,13:13:00,13:17:00,15:01:00,15:24:00,18:55:00,19:00:00,21:34:00,22:05:00,26:35:00,26:45:00,27:47:00,28:29:00,31:54:00,32:03:00,33:40:00,34:01:00,36:45:00,37:05:00,40:59:16
52,50,101,Tim,Adams,male,38,,US,00:00:00,02:59:00,03:00:00,05:08:00,05:13:00,08:22:00,08:32:00,11:07:00,11:15:00,12:12:00,12:13:00,13:42:00,13:57:00,17:19:00,17:26:00,19:55:00,22:19:00,26:52:00,27:06:00,27:59:00,28:17:00,31:59:00,32:18:00,33:56:00,34:04:00,36:59:00,37:20:00,41:09:06
53,51,29,Randy,Isler,male,57,NM,US,00:00:00,03:09:00,03:11:00,05:12:00,05:16:00,08:10:00,08:14:00,10:30:00,10:34:00,11:20:00,11:25:00,12:59:00,13:08:00,16:38:00,17:02:00,20:29:00,20:29:00,25:29:00,25:36:00,26:44:00,27:08:00,31:19:00,31:31:00,33:21:00,33:33:00,36:34:00,36:43:00,41:35:03
54,52,179,Paul,Smith,male,58,CO,US,00:00:00,03:22:00,03:24:00,05:49:00,05:52:00,09:28:00,09:33:00,12:20:00,12:25:00,13:15:00,13:22:00,14:45:00,14:45:00,18:25:00,18:29:00,20:51:00,20:53:00,"","",26:49:00,27:17:00,31:21:00,31:29:00,33:18:00,33:33:00,36:46:00,36:47:00,41:38:16
55,53,37,Ken,Gordon,male,49,NM,US,00:00:00,03:22:00,03:25:00,05:36:00,05:43:00,08:55:00,08:58:00,11:32:00,11:36:00,12:21:00,12:24:00,13:57:00,14:20:00,18:32:00,18:49:00,21:36:00,22:22:00,27:11:00,27:21:00,28:25:00,28:45:00,32:39:00,32:47:00,34:27:00,34:36:00,37:18:00,37:30:00,41:40:21
56,54,47,Kristen,Kern,male,50,NM,US,00:00:00,03:22:00,03:26:00,05:38:00,05:46:00,08:47:00,08:54:00,11:24:00,11:29:00,12:11:00,12:15:00,13:45:00,14:17:00,17:54:00,18:01:00,20:33:00,22:57:00,27:22:00,27:32:00,28:34:00,29:01:00,32:50:00,33:00:00,34:39:00,34:48:00,37:34:00,37:47:00,41:52:48
57,55,190,Joe,Winch,male,58,MN,US,00:00:00,03:37:00,03:38:00,05:58:00,06:00:00,09:10:00,09:13:00,11:30:00,11:32:00,12:15:00,12:16:00,13:50:00,13:57:00,17:01:00,17:06:00,19:21:00,20:38:00,25:53:00,26:02:00,27:20:00,28:07:00,32:19:00,32:35:00,34:36:00,34:48:00,37:56:00,38:18:00,41:56:39
58,56,150,Shawn,Krause,male,35,MD,US,00:00:00,03:25:00,03:27:00,05:47:00,05:49:00,09:28:00,09:35:00,12:26:00,12:32:00,13:14:00,13:16:00,15:02:00,15:18:00,19:12:00,19:19:00,21:45:00,22:06:00,26:56:00,27:11:00,28:20:00,28:44:00,32:38:00,32:42:00,34:25:00,34:35:00,37:38:00,37:51:00,42:00:45
59,3,14,Betsy,Nye,female,50,CA,US,00:00:00,03:14:00,03:16:00,05:25:00,05:32:00,08:28:00,08:36:00,11:00:00,11:03:00,11:52:00,11:52:00,13:33:00,13:46:00,17:32:00,17:34:00,20:19:00,20:51:00,26:33:00,26:38:00,27:48:00,28:15:00,32:21:00,32:30:00,34:20:00,34:23:00,37:37:00,37:42:00,42:22:12
60,57,15,Blake,Wood,male,56,NM,US,00:00:00,03:34:00,03:38:00,06:04:00,06:09:00,09:40:00,09:50:00,12:05:00,12:10:00,13:06:00,13:11:00,15:16:00,15:39:00,19:09:00,19:17:00,21:52:00,22:03:00,26:37:00,26:49:00,28:01:00,28:34:00,32:22:00,32:28:00,34:12:00,34:19:00,37:19:00,37:26:00,42:22:12
61,58,44,Andrew,Barney,male,42,UT,US,00:00:00,03:36:00,03:40:00,06:18:00,06:22:00,09:58:00,10:12:00,13:03:00,13:15:00,14:17:00,14:25:00,16:18:00,16:46:00,20:15:00,20:32:00,23:08:00,23:34:00,28:14:00,28:25:00,29:25:00,29:43:00,33:42:00,33:53:00,35:32:00,35:38:00,38:14:00,38:33:00,42:28:39
62,59,116,Ben,Corrales,male,41,UT,US,00:00:00,02:56:00,02:59:00,05:05:00,05:11:00,08:21:00,08:28:00,11:00:00,11:08:00,11:58:00,12:02:00,13:37:00,13:56:00,17:26:00,17:48:00,20:21:00,22:11:00,27:21:00,27:31:00,28:39:00,28:56:00,32:50:00,32:59:00,34:47:00,35:00:00,37:54:00,38:14:00,42:38:26
63,60,40,Stan,Ferguson,male,51,AR,US,00:00:00,03:21:00,03:24:00,05:38:00,05:43:00,09:00:00,09:10:00,11:46:00,11:50:00,12:34:00,12:37:00,14:08:00,14:19:00,18:02:00,18:11:00,21:00:00,21:33:00,26:29:00,26:31:00,27:38:00,28:10:00,32:08:00,32:12:00,34:02:00,34:09:00,37:49:00,37:49:00,42:41:59
64,61,185,Podog,Vogler,male,48,AR,US,00:00:00,03:21:00,03:23:00,05:38:00,05:41:00,08:55:00,09:05:00,11:41:00,11:45:00,12:31:00,12:33:00,14:01:00,14:12:00,18:02:00,18:15:00,20:54:00,21:44:00,26:59:00,27:03:00,27:55:00,28:23:00,32:25:00,32:27:00,34:08:00,34:11:00,37:45:00,37:49:00,42:41:59
65,4,39,Tina,Ure,female,55,CA,US,00:00:00,03:21:00,03:26:00,05:36:00,05:45:00,08:39:00,09:09:00,11:17:00,11:39:00,12:14:00,12:19:00,13:59:00,14:19:00,18:01:00,18:24:00,21:07:00,22:23:00,27:20:00,27:42:00,28:43:00,29:29:00,33:30:00,33:45:00,35:38:00,35:50:00,38:26:00,38:54:00,42:45:42
66,5,156,Suzanne,Lewis,female,39,UT,US,00:00:00,03:21:00,03:23:00,05:35:00,05:42:00,08:38:00,08:42:00,11:01:00,11:04:00,12:04:00,12:10:00,13:43:00,14:03:00,17:35:00,17:46:00,20:09:00,20:48:00,25:35:00,25:41:00,26:37:00,27:16:00,31:27:00,31:55:00,33:55:00,34:24:00,37:39:00,38:14:00,42:55:07
67,6,16,Sarah,Mccloskey,female,42,UT,US,00:00:00,03:14:00,03:14:00,05:20:00,05:22:00,08:17:00,08:19:00,10:24:00,10:25:00,11:09:00,11:10:00,12:41:00,12:45:00,15:50:00,15:57:00,19:30:00,19:30:00,23:16:00,23:21:00,24:27:00,24:43:00,28:20:00,28:23:00,30:17:00,30:28:00,33:30:00,36:00:00,43:12:23
68,62,186,Ken,Ward,male,57,OR,US,00:00:00,03:24:00,03:26:00,05:44:00,05:51:00,09:20:00,09:28:00,12:10:00,12:16:00,13:04:00,13:09:00,15:02:00,15:36:00,19:07:00,19:26:00,22:05:00,22:35:00,27:32:00,27:47:00,28:52:00,29:16:00,33:25:00,33:38:00,35:21:00,35:34:00,38:26:00,38:53:00,43:20:12
69,63,23,Chris,Twiggs,male,44,FL,US,00:00:00,03:26:00,03:30:00,05:12:00,05:17:00,09:34:00,09:44:00,13:30:00,13:40:00,14:37:00,14:39:00,16:05:00,16:31:00,21:20:00,21:30:00,24:11:00,24:26:00,28:29:00,28:39:00,29:40:00,30:05:00,33:41:00,33:45:00,35:21:00,35:32:00,38:14:00,38:30:00,43:30:20
